loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,11.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.99,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,15.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-10 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.99,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Grão Sabor Frutas 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-grao-sabor-frutas-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Castanha do Pará & Quinoa 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-castanha-do-para---quinoa-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Benefice 7 Grãos 400g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-benefice-7-graos-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold de Forno Original 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-de-forno-original-500g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 7 Grãos 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-7-graos-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Batatinha Papa Pão 500g,9.19,https://www.deliveryfort.com.br/pao-de-batatinha-papa-pao-500g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,11.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,15.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-11 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.99,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Grão Sabor Frutas 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-grao-sabor-frutas-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Castanha do Pará & Quinoa 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-castanha-do-para---quinoa-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Benefice 7 Grãos 400g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-benefice-7-graos-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 7 Grãos 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-7-graos-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold de Forno Original 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-de-forno-original-500g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Batatinha Papa Pão 500g,9.19,https://www.deliveryfort.com.br/pao-de-batatinha-papa-pao-500g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,11.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,15.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-12 23:18:58
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Castanha do Pará & Quinoa 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-castanha-do-para---quinoa-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Benefice 7 Grãos 400g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-benefice-7-graos-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.98,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Grão Sabor Frutas 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-grao-sabor-frutas-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 7 Grãos 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-7-graos-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold de Forno Original 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-de-forno-original-500g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Batatinha Papa Pão 500g,9.19,https://www.deliveryfort.com.br/pao-de-batatinha-papa-pao-500g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,11.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,15.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-13 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Castanha do Pará & Quinoa 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-castanha-do-para---quinoa-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Benefice 7 Grãos 400g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-benefice-7-graos-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.98,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Grão Sabor Frutas 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-grao-sabor-frutas-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 7 Grãos 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-7-graos-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold de Forno Original 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-de-forno-original-500g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,13.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Batatinha Papa Pão 500g,9.19,https://www.deliveryfort.com.br/pao-de-batatinha-papa-pao-500g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,16.99,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-14 23:19:07
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Castanha do Pará & Quinoa 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-castanha-do-para---quinoa-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Benefice 7 Grãos 400g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-benefice-7-graos-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Leite Seven Boys 450g,8.98,https://www.deliveryfort.com.br/pao-de-leite-seven-boys-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Grão Sabor Frutas 450g,17.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-grao-sabor-frutas-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 7 Grãos 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-7-graos-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Tradicional 450g,9.49,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-tradicional-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold de Forno Original 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-de-forno-original-500g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Tradicional 400g,13.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-tradicional-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral Linhaça 400g,10.99,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-linhaca-400g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Batatinha Papa Pão 500g,9.19,https://www.deliveryfort.com.br/pao-de-batatinha-papa-pao-500g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Integral 450g,9.98,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-integral-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Seven Boys Castanha e Nozes 450g,16.99,https://www.deliveryfort.com.br/pao-de-forma-seven-boys-castanha-e-nozes-450g/p,2026-01-15 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Tradicional 400g,6.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-tradicional-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Visconti Integral 400g,7.49,https://www.deliveryfort.com.br/pao-de-forma-visconti-integral-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Integral 450g,9.99,https://www.deliveryfort.com.br/pao-de-forma-wickbold-integral-450g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduiche Thabrulai 400g,7.49,https://www.deliveryfort.com.br/pao-de-sanduiche-thabrulai-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold Do Forno 100% Nutrição 500g,13.98,https://www.deliveryfort.com.br/pao-de-forma-wickbold-do-forno-100--nutricao-500g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Wickbold 100% Integral Girassol & Castanha 400g,11.79,https://www.deliveryfort.com.br/pao-de-forma-wickbold-100--integral-girassol---castanha-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Sanduíche Mentus 400g,8.49,https://www.deliveryfort.com.br/pao-de-sanduiche-mentus-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão Integral Papa Pão 7 Grãos 400g,8.99,https://www.deliveryfort.com.br/pao-integral-papa-pao-7-graos-400g/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,PAO THABRULAI 400G 100% INTEGR. CAST.BRASIL,10.98,https://www.deliveryfort.com.br/pao-thabrulai-400g-100--integr--cast-brasil/p,2026-01-16 23:19:34
LOJA 810 - FLORIANÓPOLIS,88063-038,Pão,Pão de Forma Thabrulai Integral 500g,9.98,https://www.deliveryfort.com.br/pao-de-forma-thabrulai-integral-500g/p,2026-01-16 23:19:34
